DATE,BAB,Defensive/Quality,Carry
192607,,,
192608,,,
192609,,,
192610,,,
192611,,,
192612,,,
192701,,,
192702,,,
192703,,,
192704,,,
192705,,,
192706,,,
192707,,,
192708,,,
192709,,,
192710,,,
192711,,,
192712,,,
192801,,,
192802,,,
192803,,,
192804,,,
192805,,,
192806,,,
192807,,,
192808,,,
192809,,,
192810,,,
192811,,,
192812,,,
192901,,,
192902,,,
192903,,,
192904,,,
192905,,,
192906,,,
192907,,,
192908,,,
192909,,,
192910,,,
192911,,,
192912,,,
193001,,,
193002,,,
193003,,,
193004,,,
193005,,,
193006,,,
193007,,,
193008,,,
193009,,,
193010,,,
193011,,,
193012,,,
193101,-3.31%,,
193102,-7.03%,,
193103,2.11%,,
193104,-1.66%,,
193105,-0.55%,,
193106,-5.29%,,
193107,0.78%,,
193108,0.27%,,
193109,-3.68%,,
193110,-8.04%,,
193111,0.28%,,
193112,-2.30%,,
193201,-7.50%,,
193202,1.32%,,
193203,2.37%,,
193204,-2.31%,,
193205,-1.66%,,
193206,-1.07%,,
193207,-16.41%,,
193208,-9.08%,,
193209,5.19%,,
193210,4.23%,,
193211,2.40%,,
193212,-0.53%,,
193301,0.56%,,
193302,3.30%,,
193303,0.61%,,
193304,-5.86%,,
193305,17.05%,,
193306,7.80%,,
193307,-1.91%,,
193308,1.14%,,
193309,2.95%,,
193310,-0.67%,,
193311,-0.19%,,
193312,0.88%,,
193401,2.56%,,
193402,2.78%,,
193403,1.88%,,
193404,8.73%,,
193405,0.27%,,
193406,3.36%,,
193407,2.23%,,
193408,-2.43%,,
193409,1.64%,,
193410,5.28%,,
193411,6.95%,,
193412,0.57%,,
193501,2.41%,,
193502,6.88%,,
193503,0.57%,,
193504,2.86%,,
193505,2.64%,,
193506,3.42%,,
193507,-0.50%,,
193508,-1.72%,,
193509,2.09%,,
193510,1.83%,,
193511,-1.81%,,
193512,1.34%,,
193601,-2.73%,,
193602,0.55%,,
193603,2.07%,,
193604,-0.61%,,
193605,1.82%,,
193606,1.45%,,
193607,2.25%,,
193608,0.97%,,
193609,2.76%,,
193610,3.31%,,
193611,2.63%,,
193612,-4.94%,,
193701,-1.35%,,
193702,-0.85%,,
193703,-4.23%,,
193704,0.27%,,
193705,0.74%,,
193706,-1.17%,,
193707,-0.12%,,
193708,0.89%,,
193709,-2.65%,,
193710,-3.62%,,
193711,-3.71%,,
193712,2.81%,,
193801,2.41%,,
193802,0.58%,,
193803,-0.57%,,
193804,-1.89%,,
193805,2.71%,,
193806,-1.98%,,
193807,2.10%,,
193808,0.53%,,
193809,-1.46%,,
193810,-3.36%,,
193811,2.65%,,
193812,-0.63%,,
193901,2.64%,,
193902,1.38%,,
193903,7.11%,,
193904,-0.93%,,
193905,3.77%,,
193906,5.66%,,
193907,-3.00%,,
193908,0.00%,,
193909,-19.78%,,
193910,7.28%,,
193911,6.20%,,
193912,2.62%,,
194001,3.94%,,
194002,0.21%,,
194003,1.97%,,
194004,-0.28%,,
194005,-9.93%,,
194006,3.27%,,
194007,2.13%,,
194008,0.61%,,
194009,1.23%,,
194010,-1.64%,,
194011,1.68%,,
194012,1.68%,,
194101,-0.05%,,
194102,-1.27%,,
194103,0.53%,,
194104,-0.10%,,
194105,-1.10%,,
194106,1.80%,,
194107,-2.88%,,
194108,0.82%,,
194109,1.77%,,
194110,-0.63%,,
194111,0.54%,,
194112,0.09%,,
194201,-7.91%,,
194202,-2.12%,,
194203,-3.94%,,
194204,-2.07%,,
194205,4.81%,,
194206,2.55%,,
194207,0.55%,,
194208,0.34%,,
194209,-1.75%,,
194210,-2.09%,,
194211,3.93%,,
194212,2.83%,,
194301,-4.91%,,
194302,-5.32%,,
194303,0.47%,,
194304,-1.34%,,
194305,-0.69%,,
194306,2.57%,,
194307,2.08%,,
194308,0.63%,,
194309,1.01%,,
194310,-0.37%,,
194311,1.74%,,
194312,-1.00%,,
194401,0.37%,,
194402,-0.14%,,
194403,-0.86%,,
194404,0.41%,,
194405,1.50%,,
194406,-2.10%,,
194407,1.80%,,
194408,-0.28%,,
194409,0.10%,,
194410,1.83%,,
194411,0.39%,,
194412,-1.71%,,
194501,0.53%,,
194502,0.26%,,
194503,1.19%,,
194504,0.37%,,
194505,1.25%,,
194506,-4.60%,,
194507,0.87%,,
194508,3.93%,,
194509,2.47%,,
194510,4.50%,,
194511,0.80%,,
194512,1.08%,,
194601,-0.70%,,
194602,0.47%,,
194603,5.52%,,
194604,5.76%,,
194605,0.10%,,
194606,-1.18%,,
194607,1.38%,,
194608,0.71%,,
194609,0.12%,,
194610,0.30%,,
194611,2.01%,,
194612,1.15%,,
194701,-1.70%,,
194702,0.59%,,
194703,0.30%,,
194704,0.30%,,
194705,0.85%,,
194706,2.40%,,
194707,-0.33%,,
194708,0.46%,,
194709,-1.38%,,
194710,0.89%,,
194711,1.02%,,
194712,-0.04%,,
194801,-2.32%,,
194802,0.27%,,
194803,-1.54%,,
194804,0.62%,,
194805,0.36%,,
194806,-0.55%,,
194807,0.35%,,
194808,0.44%,,
194809,1.41%,,
194810,0.57%,,
194811,1.24%,,
194812,0.47%,,
194901,1.69%,,
194902,0.90%,,
194903,-0.82%,,
194904,1.88%,,
194905,3.37%,,
194906,0.43%,,
194907,1.09%,,
194908,2.23%,,
194909,-0.51%,,
194910,0.49%,,
194911,2.26%,,
194912,-0.06%,,
195001,-1.07%,,
195002,0.79%,,
195003,0.52%,,
195004,-3.59%,,
195005,1.66%,,
195006,-0.98%,,
195007,-5.53%,,
195008,2.87%,,
195009,1.15%,,
195010,1.04%,,
195011,-0.88%,,
195012,-3.44%,,
195101,0.48%,,
195102,2.23%,,
195103,0.46%,,
195104,-1.57%,,
195105,2.29%,,
195106,1.80%,,
195107,-1.48%,,
195108,-0.23%,,
195109,-1.05%,,
195110,0.36%,,
195111,0.12%,,
195112,0.74%,,
195201,0.85%,,
195202,0.39%,,
195203,-1.10%,,
195204,0.86%,,
195205,0.55%,,
195206,-0.77%,,
195207,0.82%,,
195208,2.04%,,
195209,0.77%,,
195210,-0.39%,,
195211,0.52%,,
195212,-0.01%,,
195301,1.38%,,
195302,0.61%,,
195303,0.47%,,
195304,-0.59%,,
195305,0.04%,,
195306,-0.06%,,
195307,1.14%,,
195308,4.06%,,
195309,0.08%,,
195310,-0.45%,,
195311,0.78%,,
195312,2.73%,,
195401,-1.14%,,
195402,0.29%,,
195403,0.09%,,
195404,0.93%,,
195405,-0.08%,,
195406,1.37%,,
195407,1.90%,,
195408,0.71%,,
195409,0.52%,,
195410,-1.01%,,
195411,1.53%,,
195412,-1.83%,,
195501,0.70%,,
195502,0.11%,,
195503,-0.95%,,
195504,1.78%,,
195505,0.10%,,
195506,-0.42%,,
195507,2.65%,,
195508,-1.25%,,
195509,-0.41%,,
195510,0.10%,,
195511,-2.97%,,
195512,-1.63%,,
195601,1.86%,,
195602,-0.96%,,
195603,-1.47%,,
195604,-0.86%,,
195605,1.81%,,
195606,-1.43%,,
195607,-0.69%,,
195608,1.22%,,
195609,0.42%,,
195610,0.10%,,
195611,-0.93%,,
195612,-2.58%,,
195701,5.39%,,
195702,1.46%,,
195703,0.66%,,
195704,0.56%,,
195705,-1.48%,,
195706,-1.26%,,
195707,0.99%,,
195708,3.55%,,
195709,3.91%,,
195710,1.05%,,
195711,1.34%,,
195712,6.82%,,
195801,0.53%,,
195802,4.73%,,
195803,1.07%,,
195804,2.55%,,
195805,0.58%,,
195806,0.24%,,
195807,-2.62%,,
195808,0.38%,,
195809,-0.15%,,
195810,2.20%,,
195811,1.70%,,
195812,3.49%,,
195901,2.32%,,
195902,0.87%,,
195903,0.39%,,
195904,-1.23%,,
195905,-0.73%,,
195906,-1.81%,,
195907,2.42%,,
195908,3.44%,,
195909,0.02%,,
195910,-1.57%,,
195911,-0.82%,,
195912,-0.10%,,
196001,2.20%,,
196002,0.29%,,
196003,2.17%,,
196004,2.89%,,
196005,-1.22%,,
196006,3.56%,,
196007,2.43%,,
196008,2.75%,,
196009,-0.03%,,
196010,1.32%,,
196011,1.55%,,
196012,2.40%,,
196101,2.03%,,
196102,2.26%,,
196103,2.55%,,
196104,2.98%,,
196105,0.40%,,
196106,0.62%,,
196107,0.85%,,
196108,4.31%,,
196109,3.28%,,
196110,4.92%,,
196111,3.31%,,
196112,-2.79%,,
196201,-2.52%,,
196202,1.49%,,
196203,1.09%,,
196204,0.58%,,
196205,-3.87%,,
196206,0.40%,,
196207,-0.07%,,
196208,0.40%,,
196209,2.09%,,
196210,-0.32%,,
196211,-3.62%,,
196212,3.38%,,
196301,2.41%,,
196302,1.56%,,
196303,0.27%,,
196304,0.32%,,
196305,-0.76%,,
196306,0.68%,,
196307,0.85%,,
196308,-1.26%,,
196309,0.92%,,
196310,-1.82%,,
196311,-0.41%,,
196312,0.28%,,
196401,0.62%,,
196402,-0.56%,,
196403,-0.11%,,
196404,2.53%,,
196405,0.49%,,
196406,0.88%,,
196407,2.12%,,
196408,1.02%,,
196409,-1.81%,,
196410,0.62%,,
196411,1.94%,,
196412,-0.01%,,
196501,0.15%,,
196502,-0.05%,,
196503,-0.55%,,
196504,-0.49%,,
196505,-0.15%,,
196506,-1.41%,,
196507,-0.06%,,
196508,-1.48%,,
196509,0.18%,,
196510,-0.95%,,
196511,-1.86%,,
196512,-0.33%,,
196601,1.01%,,
196602,-1.92%,,
196603,0.40%,,
196604,-1.24%,,
196605,0.16%,,
196606,-1.33%,,
196607,0.15%,,
196608,-2.89%,,
196609,1.29%,,
196610,2.52%,,
196611,-5.10%,,
196612,-0.53%,,
196701,0.24%,,
196702,2.75%,,
196703,0.68%,,
196704,1.42%,,
196705,1.88%,,
196706,-1.75%,,
196707,4.61%,,
196708,2.39%,,
196709,2.39%,,
196710,-0.19%,,
196711,-0.68%,,
196712,0.04%,,
196801,5.85%,,
196802,2.01%,,
196803,-1.56%,,
196804,-0.10%,,
196805,1.51%,,
196806,7.06%,,
196807,2.42%,,
196808,-0.05%,,
196809,0.42%,,
196810,3.35%,,
196811,2.41%,,
196812,0.81%,,
196901,0.61%,,
196902,-0.09%,,
196903,-1.60%,,
196904,-0.38%,,
196905,1.17%,,
196906,-0.58%,,
196907,-0.83%,,
196908,-1.03%,,
196909,0.84%,,
196910,0.72%,,
196911,-0.39%,,
196912,0.72%,,
197001,0.97%,,
197002,2.50%,,
197003,4.45%,,
197004,1.58%,,
197005,-5.01%,,
197006,4.67%,,
197007,3.81%,,
197008,-1.22%,,
197009,-5.89%,,
197010,4.33%,,
197011,4.76%,,
197012,6.31%,,
197101,-1.23%,,
197102,-0.48%,,
197103,0.20%,,
197104,-0.36%,,
197105,-0.68%,,
197106,1.30%,,
197107,1.75%,,
197108,-0.06%,,
197109,0.24%,,
197110,1.02%,,
197111,-0.02%,,
197112,2.98%,,
197201,-4.27%,,
197202,-0.09%,,
197203,1.40%,,
197204,-0.04%,,
197205,1.09%,,
197206,0.04%,,
197207,1.68%,,
197208,2.44%,,
197209,0.28%,,
197210,2.41%,,
197211,3.13%,,
197212,1.45%,,
197301,-0.72%,,
197302,-0.03%,,
197303,-0.52%,,
197304,1.59%,,
197305,1.01%,,
197306,-0.52%,,
197307,-4.06%,,
197308,-0.22%,,
197309,2.52%,,
197310,1.43%,,
197311,-4.16%,,
197312,1.59%,,
197401,-2.14%,,
197402,2.37%,,
197403,0.39%,,
197404,-3.78%,,
197405,-1.81%,,
197406,-0.63%,,
197407,-0.21%,,
197408,-5.15%,,
197409,-0.76%,,
197410,4.00%,,
197411,-1.21%,,
197412,-2.32%,,
197501,4.74%,,
197502,-0.52%,,
197503,-4.38%,,
197504,1.43%,,
197505,1.65%,,
197506,2.73%,,
197507,3.74%,,
197508,-0.01%,,
197509,2.43%,,
197510,2.07%,,
197511,1.79%,,
197512,-0.95%,,
197601,4.27%,,
197602,2.42%,,
197603,0.66%,,
197604,4.36%,,
197605,0.21%,,
197606,-0.96%,,
197607,2.12%,,
197608,1.52%,,
197609,1.44%,,
197610,1.08%,,
197611,0.37%,,
197612,3.39%,,
197701,3.66%,,
197702,3.06%,,
197703,1.26%,,
197704,1.02%,,
197705,1.35%,,
197706,-0.32%,,
197707,2.73%,,
197708,0.04%,,
197709,0.53%,,
197710,0.29%,,
197711,-0.11%,,
197712,2.15%,,
197801,-0.02%,,
197802,1.45%,,
197803,1.38%,,
197804,2.99%,,
197805,1.94%,,
197806,2.02%,,
197807,0.31%,,
197808,3.83%,,
197809,2.20%,,
197810,-2.79%,,
197811,-4.58%,,
197812,0.18%,,
197901,3.69%,,
197902,1.10%,,
197903,-1.73%,,
197904,1.00%,,
197905,-0.16%,,
197906,1.60%,,
197907,1.45%,,
197908,2.13%,,
197909,0.57%,,
197910,-4.56%,,
197911,-1.55%,,
197912,0.87%,,
198001,2.19%,,
198002,-1.77%,,
198003,-4.52%,,
198004,2.19%,,
198005,3.76%,,
198006,3.79%,,
198007,-1.12%,,
198008,1.54%,,
198009,1.39%,,
198010,-0.11%,,
198011,-6.23%,,
198012,0.53%,,
198101,4.63%,,
198102,2.02%,,
198103,3.28%,,
198104,5.45%,,
198105,-0.32%,,
198106,5.07%,,
198107,-1.14%,,
198108,2.14%,,
198109,-1.50%,,
198110,-2.12%,,
198111,4.58%,,
198112,2.44%,,
198201,0.20%,,
198202,2.92%,,
198203,1.61%,,
198204,1.25%,,
198205,2.01%,,
198206,-0.50%,,
198207,1.09%,,
198208,-2.04%,,
198209,8.17%,,
198210,2.98%,,
198211,7.05%,,
198212,2.75%,,
198301,2.47%,,
198302,8.15%,,
198303,6.34%,,
198304,4.67%,,
198305,2.68%,,
198306,2.95%,,
198307,3.98%,,
198308,-0.81%,,
198309,3.64%,,
198310,3.80%,,
198311,-0.13%,,
198312,1.55%,,
198401,2.98%,,
198402,-1.80%,,
198403,-0.16%,,
198404,0.34%,,
198405,1.84%,,
198406,0.52%,,
198407,1.99%,,
198408,-0.28%,,
198409,4.05%,,
198410,2.59%,,
198411,1.45%,,
198412,0.34%,,
198501,1.45%,,
198502,4.66%,,
198503,3.52%,,
198504,3.80%,,
198505,1.75%,,
198506,2.92%,,
198507,-0.51%,,
198508,0.73%,,
198509,0.58%,,
198510,2.38%,,
198511,2.08%,,
198512,3.64%,,
198601,1.66%,,
198602,3.97%,,
198603,4.12%,,
198604,2.24%,,
198605,2.85%,,
198606,4.83%,,
198607,1.66%,,
198608,-1.15%,,
198609,-2.48%,,
198610,-1.24%,,
198611,-1.52%,,
198612,-2.30%,,
198701,4.41%,,
198702,0.27%,,
198703,5.34%,,
198704,0.16%,,
198705,-0.33%,,
198706,1.64%,,
198707,5.13%,,
198708,-0.45%,,
198709,0.28%,,
198710,-12.76%,,
198711,4.68%,,
198712,-9.39%,,
198801,3.28%,,
198802,-0.80%,,
198803,5.36%,,
198804,1.89%,,
198805,0.86%,,
198806,-0.48%,,
198807,1.63%,,
198808,1.58%,,
198809,-1.84%,,
198810,0.22%,,
198811,-1.35%,,
198812,-2.58%,,
198901,0.61%,,
198902,0.84%,,
198903,2.18%,,
198904,0.90%,,
198905,-0.47%,,
198906,2.04%,,
198907,0.86%,,
198908,1.31%,,
198909,0.29%,,
198910,0.44%,,
198911,1.31%,,
198912,-1.01%,,
199001,-0.09%,-1.9%,2.1%
199002,-1.28%,-3.4%,4.5%
199003,-0.19%,-1.3%,3.9%
199004,-2.27%,-4.0%,2.6%
199005,-1.72%,5.2%,1.9%
199006,1.07%,6.3%,3.4%
199007,0.66%,8.5%,-4.4%
199008,-2.09%,-7.3%,-3.4%
199009,0.16%,7.0%,5.7%
199010,-4.13%,-0.5%,-4.0%
199011,-4.93%,-0.3%,0.4%
199012,-1.62%,1.4%,2.5%
199101,-6.85%,0.1%,-2.9%
199102,0.98%,2.3%,-0.9%
199103,1.06%,-3.6%,1.2%
199104,5.12%,3.7%,3.4%
199105,1.51%,-1.6%,0.9%
199106,2.35%,1.1%,1.1%
199107,0.25%,3.3%,4.7%
199108,1.08%,-0.2%,-3.1%
199109,2.93%,-0.4%,3.6%
199110,2.28%,0.7%,6.2%
199111,2.74%,4.4%,1.8%
199112,-3.43%,6.7%,2.6%
199201,5.31%,1.3%,-12.7%
199202,3.84%,1.9%,-0.3%
199203,2.68%,-1.3%,5.8%
199204,-0.06%,7.7%,-1.2%
199205,1.03%,2.1%,4.6%
199206,1.67%,4.1%,7.9%
199207,1.02%,-2.3%,9.5%
199208,1.37%,0.1%,3.5%
199209,1.68%,3.6%,-10.3%
199210,-0.16%,-0.2%,-5.3%
199211,-0.32%,-5.2%,-4.8%
199212,3.18%,5.6%,-1.4%
199301,8.40%,1.3%,1.0%
199302,6.24%,9.5%,-6.0%
199303,4.89%,0.2%,3.3%
199304,5.15%,0.5%,6.5%
199305,1.71%,-0.1%,3.6%
199306,4.03%,0.2%,-0.3%
199307,3.95%,0.6%,-0.7%
199308,1.72%,7.9%,-1.4%
199309,2.90%,3.2%,-2.5%
199310,3.36%,4.3%,1.0%
199311,-2.68%,2.4%,-3.4%
199312,1.06%,5.3%,-0.8%
199401,3.36%,-4.6%,9.5%
199402,-1.06%,-3.7%,0.1%
199403,-0.47%,4.0%,-5.1%
199404,-1.57%,1.6%,0.2%
199405,1.21%,-4.6%,2.8%
199406,1.69%,5.1%,0.6%
199407,-0.51%,0.7%,4.8%
199408,-2.23%,-0.2%,7.4%
199409,3.82%,1.1%,4.2%
199410,-1.67%,-1.4%,1.6%
199411,-3.54%,-5.0%,3.1%
199412,-2.90%,3.4%,-1.7%
199501,0.89%,1.2%,-0.8%
199502,1.52%,1.1%,-5.4%
199503,1.38%,7.3%,0.1%
199504,2.25%,4.5%,2.7%
199505,1.31%,4.8%,-0.7%
199506,1.97%,-2.2%,-2.5%
199507,1.91%,-4.9%,5.4%
199508,4.32%,-2.8%,3.7%
199509,3.93%,5.2%,3.4%
199510,0.17%,3.4%,0.2%
199511,-0.97%,3.2%,4.4%
199512,2.87%,5.0%,1.2%
199601,5.03%,0.7%,3.4%
199602,1.31%,1.5%,3.1%
199603,4.04%,4.8%,7.6%
199604,0.59%,-0.3%,4.7%
199605,4.63%,1.3%,4.8%
199606,4.30%,5.4%,2.5%
199607,-0.64%,-0.6%,-2.1%
199608,0.85%,1.8%,9.7%
199609,1.35%,-0.1%,10.1%
199610,3.24%,5.6%,8.4%
199611,0.76%,6.4%,8.7%
199612,2.43%,3.9%,0.3%
199701,4.21%,1.2%,0.4%
199702,5.96%,7.7%,2.1%
199703,2.92%,3.5%,2.4%
199704,-1.36%,4.1%,2.2%
199705,-1.21%,-0.9%,-3.0%
199706,5.67%,6.7%,-0.4%
199707,0.57%,2.3%,0.0%
199708,2.53%,-1.5%,-0.3%
199709,7.99%,3.4%,-4.1%
199710,4.57%,-3.6%,0.5%
199711,1.76%,6.3%,-0.4%
199712,6.09%,6.8%,-0.2%
199801,-0.89%,-1.7%,-0.3%
199802,-0.20%,1.7%,5.7%
199803,4.15%,7.5%,1.2%
199804,3.05%,3.7%,0.4%
199805,1.70%,2.9%,0.1%
199806,-1.25%,-3.3%,8.0%
199807,-0.43%,2.6%,1.1%
199808,-1.04%,-4.1%,-5.8%
199809,-3.98%,7.4%,3.1%
199810,-8.70%,-2.1%,-8.6%
199811,-3.31%,-3.7%,2.5%
199812,-2.56%,-1.0%,-5.5%
199901,-3.86%,-4.1%,1.8%
199902,0.94%,-1.5%,3.4%
199903,-7.73%,0.4%,-1.2%
199904,-0.20%,-1.1%,6.6%
199905,3.62%,3.0%,-1.0%
199906,-1.35%,-1.3%,-0.1%
199907,0.01%,5.4%,1.0%
199908,-2.62%,-2.3%,-1.6%
199909,-4.57%,2.5%,4.0%
199910,-2.79%,-4.4%,-3.6%
199911,-11.32%,-6.0%,3.3%
199912,-11.61%,-1.1%,4.1%
200001,2.67%,-6.6%,2.1%
200002,-8.80%,-13.0%,1.3%
200003,2.68%,9.3%,-3.0%
200004,4.37%,4.7%,3.5%
200005,4.37%,5.0%,-1.0%
200006,-9.71%,-1.9%,3.4%
200007,4.25%,-0.7%,2.8%
200008,-6.39%,-6.3%,-2.0%
200009,6.31%,7.4%,-1.5%
200010,1.39%,6.1%,2.5%
200011,12.67%,9.0%,3.0%
200012,1.96%,2.0%,-5.4%
200101,-13.76%,-5.6%,0.7%
200102,12.89%,5.7%,-2.0%
200103,8.19%,2.2%,1.7%
200104,-4.99%,-2.3%,5.3%
200105,7.78%,3.1%,1.3%
200106,5.09%,1.4%,1.5%
200107,7.28%,2.8%,0.7%
200108,4.55%,4.0%,0.9%
200109,5.75%,0.8%,1.4%
200110,-8.37%,-7.2%,0.3%
200111,-5.78%,-3.4%,1.4%
200112,-3.24%,0.4%,9.9%
200201,4.08%,2.3%,-1.0%
200202,9.50%,5.6%,6.2%
200203,1.15%,0.8%,0.8%
200204,11.69%,7.5%,5.5%
200205,7.58%,5.3%,4.5%
200206,7.72%,2.3%,-0.9%
200207,-0.83%,0.7%,2.0%
200208,1.14%,3.1%,3.8%
200209,4.57%,3.0%,0.2%
200210,-7.11%,1.2%,-1.0%
200211,-15.22%,-6.9%,1.8%
200212,9.90%,7.7%,2.3%
200301,3.28%,-1.6%,-0.3%
200302,0.99%,5.1%,5.1%
200303,0.85%,1.0%,0.1%
200304,-3.61%,-1.3%,5.2%
200305,-3.92%,2.9%,7.7%
200306,2.69%,-1.7%,3.8%
200307,-3.56%,0.4%,-4.3%
200308,0.44%,-1.9%,2.8%
200309,2.12%,6.8%,7.7%
200310,0.44%,0.3%,2.5%
200311,4.73%,4.4%,2.7%
200312,6.06%,5.5%,0.1%
200401,-2.05%,-0.6%,3.6%
200402,5.21%,6.6%,4.4%
200403,4.67%,3.2%,-3.7%
200404,-0.36%,3.2%,-0.5%
200405,0.32%,0.2%,-5.7%
200406,2.56%,1.2%,0.4%
200407,5.48%,1.9%,8.4%
200408,2.59%,4.9%,1.7%
200409,2.86%,4.3%,1.4%
200410,1.61%,2.8%,-0.2%
200411,2.91%,4.8%,1.0%
200412,1.25%,2.6%,4.0%
200501,3.94%,-0.8%,7.1%
200502,3.21%,3.0%,3.4%
200503,0.34%,1.8%,1.2%
200504,1.54%,2.1%,3.1%
200505,-1.55%,-2.1%,-0.3%
200506,3.65%,2.4%,4.2%
200507,1.68%,1.5%,-1.5%
200508,0.20%,3.0%,-1.0%
200509,0.18%,4.1%,6.9%
200510,-2.16%,-2.7%,1.8%
200511,0.04%,-0.9%,4.3%
200512,1.32%,-2.3%,-3.4%
200601,1.29%,2.6%,0.9%
200602,0.86%,3.4%,1.8%
200603,1.17%,0.3%,-3.9%
200604,1.26%,3.7%,5.9%
200605,0.28%,3.2%,2.7%
200606,-0.01%,3.1%,0.3%
200607,1.78%,5.5%,1.6%
200608,-0.36%,0.6%,6.2%
200609,-0.14%,0.8%,1.3%
200610,0.50%,3.0%,2.5%
200611,1.41%,1.0%,-0.5%
200612,2.51%,2.1%,3.3%
200701,1.18%,0.1%,2.7%
200702,1.14%,-0.6%,-1.5%
200703,-0.12%,1.5%,2.2%
200704,0.84%,2.0%,4.2%
200705,-1.05%,0.0%,1.0%
200706,0.48%,-4.6%,4.0%
200707,-0.64%,1.7%,-0.9%
200708,-2.92%,8.0%,-3.2%
200709,1.21%,1.8%,1.6%
200710,-0.09%,-1.3%,5.0%
200711,-4.32%,5.0%,-5.6%
200712,-2.55%,-0.8%,1.0%
200801,-1.95%,-8.1%,-6.3%
200802,2.19%,3.2%,-1.6%
200803,-6.81%,4.8%,1.1%
200804,-2.07%,-6.3%,4.4%
200805,0.67%,-0.1%,4.8%
200806,0.19%,-1.2%,2.3%
200807,-6.50%,-2.9%,0.7%
200808,-1.44%,-0.6%,-5.5%
200809,-9.25%,-0.8%,-6.7%
200810,-5.28%,-3.0%,-10.5%
200811,-3.89%,2.3%,6.2%
200812,-7.47%,2.6%,2.2%
200901,11.56%,-3.6%,-0.6%
200902,-0.36%,0.0%,3.5%
200903,-2.93%,-4.0%,8.2%
200904,-7.73%,-8.1%,2.1%
200905,6.62%,0.1%,5.3%
200906,8.91%,7.0%,-0.3%
200907,-3.47%,1.8%,1.0%
200908,-2.00%,0.0%,5.0%
200909,-0.38%,2.5%,3.6%
200910,0.71%,-0.7%,4.7%
200911,-1.06%,3.9%,3.5%
200912,1.20%,2.7%,-2.6%
201001,1.08%,-4.0%,2.5%
201002,0.83%,2.2%,3.1%
201003,1.52%,4.5%,3.7%
201004,1.45%,0.4%,1.2%
201005,-0.63%,-1.5%,0.0%
201006,2.27%,7.6%,-1.1%
201007,-2.40%,0.7%,2.7%
201008,1.52%,3.5%,0.9%
201009,-1.12%,2.9%,8.3%
201010,2.24%,2.0%,5.6%
201011,-0.44%,0.7%,3.5%
201012,0.04%,4.3%,3.6%
201101,2.90%,-3.1%,-2.6%
201102,0.56%,2.8%,3.2%
201103,0.39%,2.2%,-1.4%
201104,0.51%,6.1%,3.7%
201105,1.43%,2.0%,-0.9%
201106,0.56%,1.2%,0.4%
201107,-0.24%,1.4%,0.7%
201108,0.63%,10.0%,0.7%
201109,1.90%,7.4%,1.0%
201110,-6.09%,-5.8%,3.1%
201111,0.52%,3.6%,-1.4%
201112,1.23%,2.6%,0.9%
201201,0.77%,-6.5%,8.5%
201202,2.58%,0.0%,5.0%
201203,4.00%,8.1%,-2.7%
201204,2.86%,3.4%,-3.6%
201205,2.38%,-4.6%,-7.0%
201206,1.06%,0.8%,4.0%
201207,1.04%,4.1%,3.8%
201208,-0.83%,-0.5%,2.0%
201209,0.81%,2.7%,-3.1%
201210,2.42%,-2.5%,0.0%
201211,-1.13%,0.5%,1.5%
201212,-0.86%,-7.3%,1.7%
201301,4.48%,7.0%,2.5%
201302,2.12%,7.4%,1.6%
201303,2.35%,9.5%,0.9%
201304,1.72%,-4.3%,1.2%
201305,-1.52%,-4.6%,-4.1%
201306,1.97%,6.4%,-3.0%
201307,1.78%,4.3%,-1.5%
201308,-0.31%,-1.8%,-3.6%
201309,0.89%,1.9%,2.6%
201310,2.87%,5.4%,2.3%
201311,1.89%,-2.3%,-0.5%
201312,0.43%,0.2%,-3.3%
201401,1.99%,-1.2%,-0.6%
201402,-0.13%,5.0%,2.5%
201403,1.59%,1.9%,2.9%
201404,0.09%,1.8%,0.4%
201405,0.90%,0.9%,0.2%
201406,-0.32%,0.5%,-4.0%
201407,1.03%,-0.1%,-1.0%
201408,1.63%,1.4%,4.0%
201409,2.53%,0.8%,0.6%
201410,2.35%,8.8%,-0.7%
201411,2.52%,3.4%,-0.4%
201412,0.84%,3.1%,-6.2%
201501,2.59%,0.9%,-1.7%
201502,-2.03%,-0.2%,-1.5%
201503,1.45%,-2.6%,1.4%
201504,-2.07%,3.1%,1.4%
201505,2.53%,-1.5%,0.2%
201506,1.89%,0.6%,-2.9%
201507,5.14%,10.5%,-2.3%
201508,-1.56%,-2.5%,-5.0%
201509,5.50%,9.6%,2.8%
201510,-1.15%,2.5%,2.7%
201511,1.40%,-1.4%,1.2%
